"Source:","/Users/tomwatson/Documents/GitHub/PCM3128/PCM3250-SPLIT/PCM3250-SPLIT.kicad_sch"
"Date:","2026-09-01T18:14:08"
"Tool:","Eeschema 10.0.5"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","212"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"R23, R24, R27, R28","4","18K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R25, R26, R29, R30","4","2K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R31, R32, R33, R34","4","2K7","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R36","1","4R7","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R56","11","10K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R50, R52","2","10R","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R53","1","22K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R54","1","2K2","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R58","1","30K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"TP1","1","PVDD","TestPoint","TestPoint:TestPoint_Pad_D2.0mm","test point","",""
"TP2","1","GND","TestPoint","TestPoint:TestPoint_Pad_D2.0mm","test point","",""
"U1","1","PGA2311","PGA2310PA","Package_DIP:DIP-16_W7.62mm_Socket","2-Channel Audio Volume Control, SPI Interface, +31.5dB to -95.5dB, PDIP-16","",""
"U2","1","ATtiny1614","ATtiny1614-SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, SOIC-14","",""
"U3, U8","2","LMR51430","LMR51430","Package_TO_SOT_SMD:SOT-23-6","4.5-V to 36-V, 3-A synchronous buck converter with 40-µA IQ, SOT-23-6","",""
"U4, U5","2","OPA1656/1612","OPA1656ID","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Dual Ultra-Low-Noise, Low-Distortion, FET-Input, Burr-Brown Audio Operational Amplifiers, SOIC-8","",""
"U6","1","LM4562","NE5532","Package_DIP:DIP-8_W7.62mm_Socket","Dual Low-Noise Operational Amplifiers, DIP-8/SOIC-8","",""
"U7","1","TPS7A2033","TPS7A20xxxDBV","Package_TO_SOT_SMD:SOT-23-5","300 mA Low Dropout Voltage Regulator, Fixed Output, 1.6..6.0Vin, Low-Noise (7μV RMS), 6.5μA IQ LDO, SOT-23","",""
"U9","1","L7812","L7812","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1.5A 35V Linear Regulator, Fixed Output 12V, TO-220/TO-263/TO-252","",""
"U10","1","TPA3250","TPA3250D2DDWR","Custom:TPA3250","","",""
